competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
243,2017,Championnats du Monde,Senior,GERMANY,19/07/2017,21/07/2017,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2017/243,2017-243,
243,2018,Championnats du Monde,Senior,CHINA,20/07/2018,23/07/2018,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2018/243,2018-243,
129,2016,Coupe du Monde,Senior,ALGERIA,05/02/2016,06/02/2016,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/129,2016-129,
457,2016,Grand Prix,Senior,CHINA,03/06/2016,04/06/2016,Foil,Womens,Asia/Hong_Kong,https://fie.org/competitions/2016/457,2016-457,
458,2017,Grand Prix,Senior,ITALY,02/12/2016,04/12/2016,Foil,Womens,Europe/Rome,https://fie.org/competitions/2017/458,2017-458,
1230,2019,Tournoi satellite,Senior,ROMANIA,23/09/2018,23/09/2018,Foil,Womens,Europe/Bucharest,https://fie.org/competitions/2019/1230,2019-1230,
1093,2017,2017 Summer Universiades,Senior,CHINESE TAIPEI,20/08/2017,25/08/2017,Foil,Womens,Asia/Taipei,https://fie.org/competitions/2017/1093,2017-1093,
118,2015,Coupe du Monde,Senior,FRANCE,07/11/2014,08/11/2014,Foil,Womens,Europe/Paris,https://fie.org/competitions/2015/118,2015-118,
1014,2015,Championnats asiatiques,Senior,SINGAPORE,25/06/2015,30/06/2015,Foil,Womens,Asia/Singapore,https://fie.org/competitions/2015/1014,2015-1014,
122,2018,Reinhold-Würth-Cup,Senior,GERMANY,27/04/2018,28/04/2018,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2018/122,2018-122,
127,2016,The Artus Court PKO BP,Senior,POLAND,15/01/2016,16/01/2016,Foil,Womens,Europe/Warsaw,https://fie.org/competitions/2016/127,2016-127,
1218,2018,Tournoi satellite,Senior,TURKEY,09/12/2017,09/12/2017,Foil,Womens,Europe/Istanbul,https://fie.org/competitions/2018/1218,2018-1218,
